१०	दहा
११	अकरा
१२	बारा
१३	तेरा
१४	चौदा
१५	पंधरा
१६	सोळा
१७	सतरा
१८	अठरा
१९	एकोणीस
२०	वीस
२१	एकवीस
२२	बावीस
२३	तेवीस
२४	चोवीस
२५	पंचवीस
२६	सव्वीस
२७	सत्तावीस
२८	अठ्ठावीस
२९	एकोणतीस
३०	तीस
३१	एकतीस
३२	बत्तीस
३३	तेहतीस
३४	चौतीस
३५	पस्तीस
३६	छत्तीस
३७	सदतीस
३८	अडतीस
३९	एकोणचाळीस
४०	चाळीस
४१	एकेचाळीस
४२	बेचाळीस
४३	त्रेचाळीस
४४	चव्वेचाळीस
४५	पंचेचाळीस
४६	सेहचाळीस
४७	सत्तेचाळीस
४८	अठ्ठेचाळीस
४९	एकोणपन्नास
५०	पन्नास
५१	एकावन्न
५२	बावन्न
५३	त्रेपन्न
५४	चौपन्न
५५	पंचावन्न
५६	छप्पन
५७	सत्तावन्न
५८	अठ्ठावन्न
५९	एकोणसाठ
६०	साठ
६१	एकसष्ट
६२	बासष्ट
६३	त्रेसष्ट
६४	चौसष्ट
६५	पासष्ट
६६	सहासष्ठ
६७	सदुसष्ट
६८	अडुसष्ठ
६९	एकोणसत्तर
७०	सत्तर
७१	एकाहत्तर
७२	बाहत्तर
७३	त्र्याहत्तर
७४	चौऱ्याहत्तर
७५	पंचाहत्तर
७६	शहात्तर
७७	सत्याहत्तर
७८	अठ्ठ्यात्तर
७९	एकोणऐंशी
८०	ऐंशी
८१	एक्याऐंशी
८२	ब्याऐंशी
८३	त्र्याऐंशी
८४	चौऱ्याऐंशी
८५	पंच्याऐंशी
८६	सह्यांशी
८७	सत्याऐंशी
८८	अठ्ठ्याऐंशी
८९	एकोणनव्वद
९०	नव्वद
९१	एक्याण्णव
९२	ब्याण्णव
९३	त्र्याण्णव
९४	चौऱ्याण्णव
९५	पंच्याण्णव
९६	शह्याण्णवx
९७	सत्त्याण्णव
९८	अठ्ठ्याण्णव
९९	नव्व्याण्णव
१०	टेन
११	इलेव्हन
१२	ट्वेल्व
१३	थर्टीन
१४	फोर्टीन
१५	फिफ्टीन
१६	सिक्सटीन
१७	सेव्हन्टीन
१८	एटीन
१९	नाइन्टीन
१९	नाईनटीन
२०	ट्वेंटी
३०	थर्टी
४०	फोर्टी
५०	फिफ्टी
६०	सिक्सटी
७०	सेव्हन्टी
८०	एटी
९०	नाइन्टी
९०	नाईनटी
१०	दस
११	ग्यारह
१२	बारह
१३	तेरह
१४	चौदह
१५	पंद्रह
१६	सोलह
१७	सत्रह
१८	अठारह
१९	उन्नीस
२०	बीस
२१	इक्कीस
२२	बाईस
२३	तेईस
२४	चौबीस
२५	पच्चीस
२६	छब्बीस
२७	सत्ताईस
२८	अट्ठाईस
२९	उनतीस
३०	तीस
३१	इकतीस
३२	बत्तीस
३३	तैंतीस
३४	चौंतीस
३५	पैंतीस
३६	छत्तीस
३७	सैंतीस
३८	अड़तीस
३९	उनतालीस
४०	चालीस
४१	इकतालीस
४२	बयालीस
४३	तैंतालीस
४४	चवालीस
४५	पैंतालीस
४६	छियालीस
४७	सैंतालीस
४८	अड़तालीस
४९	उनचास
५०	पचास
५१	इक्यावन
५२	बावन
५३	तिरपन
५४	चौवन
५५	पचपन
५६	छप्पन
५७	सत्तावन
५८	अट्ठावन
५९	उनसठ
६०	साठ
६१	इकसठ
६२	बासठ
६३	तिरसठ
६४	चौंसठ
६५	पैंसठ
६६	छियासठ
६७	सड़सठ
६८	अड़सठ
६९	उनहत्तर
७०	सत्तर
७१	इकहत्तर
७२	बहत्तर
७३	तिहत्तर
७४	चौहत्तर
७५	पचहत्तर
७६	छिहत्तर
७७	सतहत्तर
७८	अठहत्तर
७९	उनासी
८०	अस्सी
८१	इक्यासी
८२	बयासी
८३	तिरासी
८४	चौरासी
८५	पचासी
८६	छियासी
८७	सतासी
८८	अठासी
८९	नवासी
९०	नब्बे
९१	इक्यानवे
९२	बानवे
९३	तिरानवे
९४	चौरानवे
९५	पचानवे
९६	छियानवे
९७	सत्तानवे
९८	अट्ठानवे
९९	निन्यानवे
